method,trials,non_foul_trials,successes,failures,foul_balls,unresolved,success_pct,failure_pct,foul_ball_pct,unresolved_pct,resolved_t_total_mean
nearest_direct,2708,917,645,0,1791,272,70.3380588876772,0.0,66.13737075332348,10.044313146233383,13.232325581395402
ours_direct,2708,1361,1020,0,1347,341,74.94489346069066,0.0,49.741506646971935,12.592319054652881,12.57117647058828
ours_relay,2707,1360,1153,0,1347,207,84.77941176470588,0.0,49.75988178795715,7.646841521980051,10.474024284475304
